Name,From,To,Pos,Height,Weight,Birth Date,Colleges,Retired
Mike McCarron,1947,1950,G,5-11,180,"March 2, 1922",Seton Hall,1
Andre McCarter,1977,1981,G,6-3,190,"August 25, 1953",UCLA,1
Willie McCarter,1970,1972,G,6-3,175,"July 26, 1946",Drake University,1
Johnny McCarthy,1957,1964,G,6-1,185,"April 25, 1934",Canisius,1
Howie McCarty,1947,1947,F-G,6-2,190,"April 15, 1919",Wayne State University,1
Kelly McCarty,1999,1999,G-F,6-7,200,"August 24, 1975",Southern Miss,1
Walter McCarty,1997,2006,F,6-10,230,"February 1, 1974",Kentucky,1
Amal McCaskill,1997,2004,F-C,6-11,235,"October 28, 1973",Marquette,1
Patrick McCaw,2017,2021,G,6-7,181,"October 25, 1995",UNLV,0
Dwayne McClain,1986,1986,G,6-6,185,"February 7, 1963",Villanova,1
Ted McClain,1972,1979,G,6-1,180,"August 30, 1946",Tennessee State,1
Dan McClintock,2001,2001,C,7-0,270,"April 19, 1977",Northern Arizona University,1
Jack McCloskey,1953,1953,G,6-2,190,"September 19, 1925","Pitt, Penn",1
George McCloud,1990,2002,G-F,6-6,205,"May 27, 1967",Florida State,1
Mac McClung,2022,2025,G,6-2,185,"January 6, 1999","Georgetown, Texas Tech",0
CJ McCollum,2014,2025,G,6-3,190,"September 19, 1991",Lehigh,0
John McConathy,1952,1952,F,6-5,195,"April 9, 1930",Northwestern State University,1
Bucky McConnell,1953,1953,G,5-10,170,"July 1, 1928",,1
T.J. McConnell,2016,2025,G,6-1,190,"March 25, 1992","Duquesne, Arizona",0
Keith McCord,1981,1981,G,6-7,210,"June 22, 1957","Alabama, UAB",1
Tim McCormick,1985,1992,C,6-11,240,"March 10, 1962",Michigan,1
Jelani McCoy,1999,2008,C,6-10,245,"December 6, 1977",UCLA,1
Paul McCracken,1973,1977,G,6-4,180,"September 11, 1950",Cal State Northridge,1
Chris McCray,2007,2007,G,6-5,192,"May 27, 1984",Maryland,1
Rodney McCray,1984,1993,F-G,6-7,220,"August 29, 1961",Louisville,1
Scooter McCray,1984,1987,F-G,6-9,215,"February 8, 1960",Louisville,1
Erik McCree,2018,2018,F,6-7,219,"December 20, 1993",Louisiana Tech,1
Chris McCullough,2016,2018,F,6-11,200,"February 5, 1995",Syracuse,1
John McCullough,1982,1982,G,6-4,190,"October 5, 1956",Oklahoma,1
Clint McDaniel,1996,1996,G,6-4,180,"February 26, 1972",Arkansas,1
Xavier McDaniel,1986,1998,F,6-7,205,"June 4, 1963",Wichita State,1
Jaden McDaniels,2021,2025,F,6-9,185,"September 29, 2000",Washington,0
Jalen McDaniels,2020,2024,F,6-9,205,"January 31, 1998",San Diego State,0
Jim McDaniels,1972,1978,C-F,6-11,228,"April 2, 1948",Western Kentucky,1
K.J. McDaniels,2015,2017,G-F,6-6,205,"February 9, 1993",Clemson,1
Doug McDermott,2015,2025,F,6-6,225,"January 3, 1992",Creighton,0
Sean McDermott,2021,2021,F,6-6,195,"November 3, 1996",Butler,0
Ben McDonald,1986,1989,F,6-8,210,"July 20, 1962","University of California, Irvine",1
Glenn McDonald,1975,1977,F-G,6-6,190,"March 18, 1952",Cal State Long Beach,1
Michael McDonald,1998,1998,C,6-10,232,"February 13, 1969","Utah Valley, New Orleans",1
Rod McDonald,1971,1973,F,6-6,205,"April 9, 1945",Whitworth,1
Hank McDowell,1982,1987,F-C,6-9,215,"November 13, 1959",Memphis,1
Antonio McDyess,1996,2011,F-C,6-9,220,"September 7, 1974",Alabama,1
Jim McElroy,1976,1982,G,6-3,190,"October 4, 1953",Central Michigan University,1
Pat McFarland,1974,1976,F-G,6-5,185,"December 7, 1951",Saint Joseph's,1
Ivan McFarlin,2007,2007,F,6-8,240,"April 26, 1982",Oklahoma State,1
Mel McGaha,1949,1949,G,6-1,190,"September 26, 1926",Arkansas,1
Mitch McGary,2015,2016,F-C,6-10,255,"June 6, 1992",Michigan,1
JaVale McGee,2009,2024,C,7-0,270,"January 19, 1988",Nevada,0
Mike McGee,1982,1990,G-F,6-5,190,"July 29, 1959",Michigan,1
Billy McGill,1963,1970,C-F,6-9,225,"September 16, 1939",Utah,1
George McGinnis,1972,1982,F-C,6-8,235,"August 12, 1950",Indiana,1
Jon McGlocklin,1966,1976,G-F,6-5,205,"June 10, 1943",Indiana,1
Bryce McGowens,2023,2025,G-F,6-7,179,"November 8, 2002",Nebraska,0
Tracy McGrady,1998,2012,G-F,6-8,210,"May 24, 1979",,1
Gil McGregor,1972,1972,F,6-8,240,"June 14, 1949",Wake Forest,1
Cameron McGriff,2022,2022,F,6-7,230,"September 30, 1997",Oklahoma State,1
Elton McGriff,1968,1969,C,6-9,225,"August 21, 1942","City College of San Francisco, Creighton",1
Rodney McGruder,2017,2023,G,6-4,205,"July 29, 1991",Kansas State,0
Al McGuire,1952,1955,G-F,6-2,180,"September 7, 1928",St. John's,1
Allie McGuire,1974,1974,G,6-3,175,"July 10, 1951",Marquette,1
Dick McGuire,1950,1960,G,6-0,180,"January 25, 1926",St. John's,1
Dominic McGuire,2008,2013,F,6-9,220,"October 20, 1985","California, Fresno State",1
Kevin McHale,1981,1993,F-C,6-10,210,"December 19, 1957",Minnesota,1
Maurice McHartley,1968,1970,G-F,6-3,185,"August 1, 1942",North Carolina A&T,1
Jim McIlvaine,1995,2001,C,7-1,240,"July 30, 1972",Marquette,1
Jeff McInnis,1997,2008,G,6-4,190,"October 22, 1974",UNC,1
Kenny McIntosh,1972,1975,F,6-7,225,"January 21, 1949",Eastern Michigan,1
Bob McIntyre,1968,1970,F,6-6,215,"January 23, 1944",St. John's,1
Jerry McKee,1970,1970,G,6-3,190,"August 4, 1946",Ohio University,1
Kevin McKenna,1982,1988,G-F,6-5,195,"January 8, 1959",Creighton,1
Forrest McKenzie,1987,1987,F,6-7,200,"February 16, 1963",Loyola Marymount,1
Stan McKenzie,1968,1974,F-G,6-5,195,"October 6, 1944",NYU,1
Derrick McKey,1988,2002,F-C,6-9,205,"October 10, 1966",Alabama,1
Aaron McKie,1995,2007,G-F,6-5,209,"October 2, 1972",Temple,1
Billy McKinney,1979,1986,G,6-0,160,"June 5, 1955",Northwestern,1
Bones McKinney,1947,1952,F-C,6-6,185,"January 1, 1919",UNC,1
Carlton McKinney,1990,1992,G,6-4,190,"October 21, 1964","Tulsa, SMU",1
Trey McKinney-Jones,2018,2018,G,6-5,214,"August 27, 1990","Missouri-Kansas City, Miami (FL)",1
Alfonzo McKinnie,2018,2022,F,6-7,215,"September 17, 1992",Green Bay,0
JaQuori McLaughlin,2022,2022,G,6-4,190,"January 29, 1998","Oregon State, UC Santa Barbara",0
Jordan McLaughlin,2020,2025,G,6-0,185,"April 9, 1996",USC,0
Ben McLemore,2014,2022,G,6-3,195,"February 11, 1993",Kansas,1
McCoy McLemore,1965,1972,F-C,6-7,230,"April 3, 1942",Drake University,1
George McLeod,1953,1953,F,6-5,200,"January 3, 1931",TCU,1
Keith McLeod,2004,2007,G,6-2,188,"November 5, 1979",Bowling Green,1
Roshown McLeod,1999,2001,F,6-8,221,"November 17, 1975","St. John's, Duke",1
Jack McMahon,1953,1960,G,6-1,185,"December 3, 1928",St. John's,1
Nate McMillan,1987,1998,G-F,6-5,195,"August 3, 1964",NC State,1
Tom McMillen,1976,1986,F-C,6-11,215,"May 26, 1952",Maryland,1
Jim McMillian,1971,1979,F,6-5,215,"March 11, 1948",Columbia University,1
Shellie McMillon,1959,1962,F,6-5,205,"March 11, 1936",Bradley,1
Mal McMullen,1950,1951,F-C,6-5,210,"August 23, 1927",Xavier,1
Chet McNabb,1948,1948,F,6-2,200,"September 19, 1920",Arizona State,1
Mark McNamara,1983,1991,C-F,6-11,235,"June 8, 1959","Santa Clara, California",1
Joe McNamee,1951,1952,F-C,6-6,210,"September 24, 1926",San Francisco,1
Jerel McNeal,2015,2015,G,6-3,200,"June 1, 1987",Marquette,1
Chris McNealy,1986,1988,F,6-7,210,"July 15, 1961",San Jose State,1
Bob McNeill,1961,1962,G,6-1,170,"October 22, 1938",Saint Joseph's,1
Larry McNeill,1974,1979,F-C,6-9,195,"January 31, 1951",Marquette,1
Carl McNulty,1955,1955,G,6-3,185,"February 14, 1930",Purdue,1
Paul McPherson,2001,2001,G,6-4,210,"July 3, 1978",DePaul,1
Roy McPipe,1975,1975,G,6-3,205,"May 5, 1950","Montana State University, Billings",1
Cozell McQueen,1987,1987,F,6-11,235,"January 18, 1962",NC State,1
Jordan McRae,2016,2020,G,6-5,179,"March 28, 1991",Tennessee,1
Thales McReynolds,1966,1966,G,6-3,185,"June 8, 1943",Miles College,1
Josh McRoberts,2008,2018,F-C,6-10,240,"February 28, 1987",Duke,1
Jack McVeigh,2025,2025,F,6-8,215,"June 27, 1996",Nebraska,0
Eric McWilliams,1973,1973,F,6-8,200,"April 18, 1950",Cal State Long Beach,1
George Mearns,1947,1948,F,6-3,175,"April 18, 1922",Rhode Island,1
Stanislav Medvedenko,2001,2007,F,6-10,250,"April 4, 1979",,1
Darnell Mee,1994,1995,G,6-5,175,"February 11, 1971",Western Kentucky,1
Jodie Meeks,2010,2019,G,6-4,210,"August 21, 1987",Kentucky,1
Cliff Meely,1972,1976,F-C,6-8,215,"July 10, 1947",Colorado,1
Scott Meents,1990,1991,F,6-10,225,"January 4, 1964",Illinois,1
Dick Mehen,1950,1952,F-C,6-5,195,"May 20, 1922",Tennessee,1
Monk Meineke,1953,1958,F-C,6-7,208,"October 30, 1930",Dayton,1
Carl Meinhold,1948,1949,G-F,6-2,185,"March 29, 1926",Long Island University,1
Salah Mejri,2016,2019,C,7-2,235,"June 15, 1986",,1
Gal Mekel,2014,2015,G,6-3,191,"March 4, 1988",Wichita State,1
Bill Melchionni,1967,1976,G,6-1,165,"October 19, 1944",Villanova,1
Gary Melchionni,1974,1975,G,6-2,185,"January 19, 1951",Duke,1
Nicolò Melli,2020,2021,F,6-9,236,"January 26, 1991",,1
Fab Melo,2013,2013,C,7-0,255,"June 20, 1990",Syracuse,1
De'Anthony Melton,2019,2025,G,6-2,200,"May 28, 1998",USC,0
Ed Melvin,1947,1947,G,5-9,170,"February 13, 1916",Duquesne,1
Dean Meminger,1972,1977,G,6-0,175,"May 13, 1948",Marquette,1
Chuck Mencel,1956,1957,G,6-0,168,"April 21, 1933",Minnesota,1
John Mengelt,1972,1981,G,6-2,195,"October 16, 1949",Auburn,1
Ken Menke,1950,1950,G,6-0,168,"October 2, 1922",Illinois,1
Nathan Mensah,2024,2024,F,6-8,230,"April 9, 1998",San Diego State,0
Pops Mensah-Bonsu,2007,2011,F,6-9,240,"September 7, 1983",George Washington,1
Dewitt Menyard,1968,1968,C,6-10,210,"May 24, 1944","Allan Hancock College, Utah",1
Ron Mercer,1998,2005,G-F,6-7,210,"May 18, 1976",Kentucky,1
Joe Meriweather,1976,1985,C-F,6-10,215,"October 26, 1953",Southern Illinois,1
Porter Meriwether,1963,1963,G,6-2,180,"March 16, 1940",Tennessee State,1
Sam Merrill,2021,2025,G,6-4,205,"May 15, 1996",Utah State University,0
Tom Meschery,1962,1971,F,6-6,215,"October 26, 1938",Saint Mary's,1
Chimezie Metu,2019,2024,F-C,6-9,225,"March 22, 1997",USC,0
Bill Meyer,1968,1968,G,6-3,195,"August 30, 1943",Hiram College,1
Loren Meyer,1996,1999,C,6-10,257,"December 30, 1972",Iowa State,1
Dave Meyers,1976,1980,F-C,6-8,215,"April 21, 1953",UCLA,1
Stan Miasek,1947,1953,C-F,6-5,210,"September 19, 1923",,1
Larry Micheaux,1984,1985,F,6-9,220,"March 24, 1960",Houston,1
Vasilije Micić,2024,2025,G,6-5,200,"January 13, 1994",,0
Jordan Mickey,2016,2018,F,6-8,235,"July 9, 1994",LSU,1
Khris Middleton,2013,2025,F-G,6-7,222,"August 12, 1991",Texas A&M,0
Red Mihalik,1947,1947,G,6-0,180,"September 22, 1916",,1
Chris Mihm,2001,2009,C-F,7-0,265,"July 16, 1979",Texas,1
Eric Mika,2020,2020,C,6-10,230,"January 5, 1995",BYU,0
Ed Mikan,1949,1954,C-F,6-8,230,"October 20, 1925",DePaul,1
George Mikan,1949,1956,C,6-10,245,"June 18, 1924",DePaul,1
Larry Mikan,1971,1971,F,6-7,210,"April 8, 1948",Minnesota,1
Vern Mikkelsen,1950,1959,F-C,6-7,230,"October 21, 1928",Hamline University,1
Al Miksis,1950,1950,C,6-7,210,"February 2, 1928",Western Illinois University,1
Aaron Miles,2006,2006,G,6-1,175,"April 13, 1983",Kansas,1
C.J. Miles,2006,2022,G-F,6-6,220,"March 18, 1987",,1
Darius Miles,2001,2009,F,6-9,210,"October 9, 1981",,1
Eddie Miles,1964,1972,G-F,6-4,195,"July 5, 1940",Seattle University,1
Marko Milič,1998,1999,G-F,6-6,235,"May 7, 1977",,1
Darko Miličić,2004,2013,F-C,7-0,250,"June 20, 1985",,1
Nat Militzok,1947,1947,F,6-3,195,"May 3, 1923",Cornell,1
Andre Miller,2000,2016,G,6-3,200,"March 19, 1976",Utah,1
Anthony Miller,1995,2005,F,6-9,225,"October 22, 1971",Michigan State,1
Bill Miller,1949,1949,F,6-3,190,"November 24, 1924",UNC,1
Bob Miller,1984,1984,F,6-10,230,"July 9, 1956",Cincinnati,1
Brad Miller,1999,2012,C-F,6-11,244,"April 12, 1976",Purdue,1
Brandon Miller,2024,2025,F-G,6-9,201,"November 22, 2002",Alabama,0
Darius Miller,2013,2021,F,6-6,225,"March 21, 1990",Kentucky,1
Dick Miller,1981,1981,F,6-6,215,"April 26, 1958",Toledo,1
Eddie Miller,1953,1954,C-F,6-8,225,"June 18, 1931",Syracuse,1
Harry Miller,1947,1947,C-F,6-4,230,"July 28, 1923",UNC,1
Jay Miller,1968,1971,F,6-5,205,"July 19, 1943",Notre Dame,1
Jordan Miller,2024,2025,G,6-7,195,"January 23, 2000","George Mason, Miami (FL)",0
Larry Miller,1969,1975,G-F,6-4,190,"April 4, 1946",UNC,1
Leonard Miller,2024,2025,F,6-10,210,"November 26, 2003",,0
Malcolm Miller,2018,2020,F,6-7,210,"March 6, 1993",Holy Cross,0
Mike Miller,2001,2017,F-G,6-8,218,"February 19, 1980",Florida,1
Oliver Miller,1993,2004,C,6-9,280,"April 6, 1970",Arkansas,1
Quincy Miller,2013,2015,F,6-9,210,"November 18, 1992",Baylor,1
Reggie Miller,1988,2005,G-F,6-7,185,"August 24, 1965",UCLA,1
Walt Miller,1947,1947,F,6-2,190,"July 20, 1915",Duquesne,1
Dariq Whitehead,2024,2025,F,6-7,220,"August 1, 2004",Duke,0
Chris Mills,1994,2003,F,6-6,215,"January 25, 1970","Kentucky, Arizona",1
John Mills,1947,1947,C-F,6-8,203,"September 7, 1919",Western Kentucky,1
Patty Mills,2010,2025,G,6-2,180,"August 11, 1988",Saint Mary's,0
Terry Mills,1991,2001,F,6-10,230,"December 21, 1967",Michigan,1
Elijah Millsap,2015,2017,G-F,6-6,225,"August 12, 1987","Louisiana, UAB",1
Paul Millsap,2007,2022,F,6-7,257,"February 10, 1985",Louisiana Tech,1
Shake Milton,2019,2025,G,6-5,205,"September 26, 1996",SMU,0
Justin Minaya,2023,2025,F,6-5,210,"March 26, 1999",,0
Harold Miner,1993,1996,G,6-5,210,"May 5, 1971",USC,1
Yao Ming,2003,2011,C,7-6,310,"September 12, 1980",,1
Riley Minix,2025,2025,G,6-7,230,"September 22, 2000","Southeastern University, Morehead State University",0
Dirk Minniefield,1986,1988,G,6-3,180,"January 17, 1961",Kentucky,1
Dave Minor,1952,1953,G-F,6-2,185,"February 23, 1922","Toledo, UCLA",1
Greg Minor,1995,1999,G-F,6-6,210,"September 18, 1971",Louisville,1
Mark Minor,1973,1973,F,6-6,215,"May 14, 1950",Ohio State,1
Josh Minott,2023,2025,F,6-8,205,"November 25, 2002",Memphis,0
Nikola Mirotić,2015,2019,F,6-10,250,"February 11, 1991",,1
Wat Misaka,1948,1948,G,5-7,150,"December 21, 1923","Weber State, Utah",1
Jason Miskiri,2000,2000,G,6-2,175,"August 19, 1975",George Mason,1
Yves Missi,2025,2025,C,6-11,235,"May 14, 2004",Baylor,0
Ajay Mitchell,2025,2025,G,6-5,200,"June 25, 2002",UC Santa Barbara,0
Davion Mitchell,2022,2025,G,6-2,205,"September 5, 1998","Auburn, Baylor",0
Donovan Mitchell,2018,2025,G,6-3,215,"September 7, 1996",Louisville,0
Leland Mitchell,1968,1968,G,6-4,210,"February 22, 1941","Pearl River Community College, Mississippi State",1
Mike Mitchell,1979,1988,F,6-7,215,"January 1, 1956",Auburn,1
Murray Mitchell,1950,1950,C,6-6,,"March 19, 1923",Sam Houston State University,1
Sam Mitchell,1990,2002,F,6-6,210,"September 2, 1963",Mercer University,1
Todd Mitchell,1989,1989,F,6-7,205,"July 26, 1966",Purdue,1
Tony Mitchell,2014,2014,F,6-6,216,"August 7, 1989",Alabama,1
Tony Mitchell,2014,2014,F,6-8,235,"April 7, 1992",University of North Texas,1
Naz Mitrou-Long,2018,2020,G,6-3,218,"August 3, 1993",Iowa State,1
Steve Mix,1970,1983,F,6-7,215,"December 30, 1947",Toledo,1
Bill Mlkvy,1953,1953,F,6-4,190,"January 19, 1931",Temple,1
Cuttino Mobley,1999,2009,G,6-4,190,"September 1, 1975",Rhode Island,1
Eric Mobley,1995,1997,C,6-11,235,"February 1, 1970",Pitt,1
Evan Mobley,2022,2025,F-C,6-11,215,"June 18, 2001",USC,0
Isaiah Mobley,2023,2024,F,6-8,240,"September 24, 1999",USC,0
Doug Moe,1968,1972,F-G,6-5,215,"September 21, 1938",UNC,1
Larry Moffett,1978,1978,F,6-8,210,"November 5, 1954",UNLV,1
Jonathan Mogbo,2025,2025,F,6-9,225,"October 29, 2001","Missouri State, San Francisco",0
Leo Mogus,1947,1951,F-C,6-4,190,"April 13, 1921",Youngstown State University,1
Nazr Mohammed,1999,2016,C,6-10,221,"September 5, 1977",Kentucky,1
Jérôme Moïso,2001,2005,F-C,6-10,235,"June 15, 1978",UCLA,1
Paul Mokeski,1980,1991,C-F,7-0,250,"January 3, 1957",Kansas,1
Adam Mokoka,2020,2021,G,6-4,190,"July 18, 1998",,0
Jack Molinas,1954,1954,F,6-6,200,"October 31, 1931",Columbia University,1
Wayne Molis,1967,1968,F,6-8,230,"April 17, 1943","Chicago State, Lewis (IL)",1
Sidney Moncrief,1980,1991,G,6-4,180,"September 21, 1957",Arkansas,1
Chima Moneke,2023,2023,F,6-6,222,"December 24, 1995","Northeast Community College, UC-Davis",0
Eric Money,1975,1980,G,6-0,170,"February 6, 1955",Arizona,1
Sergei Monia,2006,2006,F,6-8,220,"April 15, 1983",,1
Malik Monk,2018,2025,G,6-3,200,"February 4, 1998",Kentucky,0
Earl Monroe,1968,1980,G,6-3,185,"November 21, 1944",Winston-Salem State,1
Greg Monroe,2011,2022,C-F,6-11,265,"June 4, 1990",Georgetown,1
Rodney Monroe,1992,1992,G,6-3,185,"April 16, 1968",NC State,1
Luis Montero,2016,2018,G,6-7,185,"April 6, 1993",Westchester CC,1
Howie Montgomery,1963,1963,F,6-5,220,"August 22, 1940",University of Texas Rio Grande Valley,1
Eric Montross,1995,2002,C,7-0,270,"September 23, 1971",UNC,1
Moses Moody,2022,2025,G,6-5,205,"May 31, 2002",Arkansas,0
Jamario Moon,2008,2012,F,6-8,205,"June 13, 1980",Meridian Community College,1
Xavier Moon,2022,2024,G,6-2,165,"January 2, 1995","Northwest Florida State College, Morehead State University",0
Jim Mooney,1953,1953,F,6-5,215,"July 8, 1930",Villanova,1
Matt Mooney,2020,2022,G,6-3,199,"February 7, 1996","Air Force, South Dakota, Texas Tech",1
Andre Moore,1988,1988,F,6-9,215,"July 2, 1964",Loyola Chicago,1
Ben Moore,2018,2018,F,6-8,220,"May 13, 1995",SMU,1
E'Twaun Moore,2012,2021,G-F,6-3,191,"February 25, 1989",Purdue,1
Gene Moore,1969,1975,C-F,6-9,225,"July 29, 1945",Saint Louis,1
Jackie Moore,1955,1957,F,6-5,180,"September 24, 1932",La Salle,1
Johnny Moore,1981,1990,G,6-1,175,"March 3, 1958",Texas,1
Larry Moore,1968,1968,F,6-7,215,"July 10, 1942",Florida State,1
Lowes Moore,1981,1983,G,6-1,170,"May 5, 1957",West Virginia,1
Mikki Moore,1999,2012,C-F,6-11,225,"November 4, 1975",Nebraska,1
Otto Moore,1969,1977,C-F,6-11,205,"August 27, 1946",University of Texas Rio Grande Valley,1
Richie Moore,1968,1968,G,6-2,190,,"Villanova, Hiram Scott College",1
Ron Moore,1988,1988,C,7-0,260,"January 16, 1962","Salem University, West Virginia State University",1
Taze Moore,2024,2025,G,6-5,195,"June 29, 1998","Cal State-Bakersfield, Houston",0
Tracy Moore,1992,1997,G-F,6-4,200,"December 28, 1965",Tulsa,1
Wendell Moore Jr.,2023,2025,G-F,6-5,213,"September 18, 2001",Duke,0
Ja Morant,2020,2025,G,6-2,174,"August 10, 1999",Murray State,0
Eric Moreland,2015,2019,F-C,6-10,238,"December 24, 1991",Oregon State,1
Jackie Moreland,1961,1970,F-G,6-7,215,"March 11, 1938",Louisiana Tech,1
Guy Morgan,1983,1983,G,6-8,205,"August 23, 1960",Wake Forest,1
Juwan Morgan,2020,2022,F,6-7,232,"April 17, 1997",Indiana,0
Rex Morgan,1971,1972,G,6-5,190,"October 27, 1948",Jacksonville University,1
Elmore Morgenthaler,1947,1949,C,6-9,230,"August 3, 1922","New Mexico Tech, Boston College",1
Darren Morningstar,1994,1994,C,6-10,235,"April 22, 1969","United States Naval Academy, Pitt",1
Chris Morris,1989,1999,F,6-8,210,"January 20, 1966",Auburn,1
Darius Morris,2012,2015,G,6-4,190,"January 3, 1991",Michigan,1
Isaiah Morris,1993,1993,F,6-8,229,"April 2, 1969",Arkansas,1
Jaylen Morris,2018,2022,G,6-5,185,"September 19, 1995",Molloy,1
Marcus Morris,2012,2024,F,6-8,218,"September 2, 1989",Kansas,0
Markieff Morris,2012,2025,F,6-9,245,"September 2, 1989",Kansas,0
Max Morris,1950,1950,F-C,6-2,195,"March 14, 1925",Northwestern,1
Monte Morris,2018,2025,G,6-2,183,"June 27, 1995",Iowa State,0
Randolph Morris,2007,2010,C,6-10,266,"January 2, 1986",Kentucky,1
Terence Morris,2002,2006,F,6-9,221,"January 11, 1979",Maryland,1
Adam Morrison,2007,2010,F,6-8,205,"July 19, 1984",Gonzaga,1
John Morrison,1968,1968,G,6-2,190,"May 2, 1945",Canisius,1
Mike Morrison,1990,1990,G,6-4,195,"August 16, 1967",Loyola (MD),1
Red Morrison,1955,1958,F-C,6-8,220,"April 26, 1932",Idaho,1
Anthony Morrow,2009,2017,G,6-5,210,"September 27, 1985",Georgia Tech,1
Dwayne Morton,1995,1995,F,6-7,195,"August 8, 1971",Louisville,1
John Morton,1990,1992,G,6-3,180,"May 18, 1967",Seton Hall,1
Richard Morton,1989,1989,G,6-3,190,"February 2, 1966",Cal State Fullerton,1
Glenn Mosley,1978,1979,F,6-8,195,"December 26, 1955",Seton Hall,1
Perry Moss,1986,1987,G,6-2,185,"November 11, 1958",Northeastern University,1
Lawrence Moten,1996,1998,G,6-5,185,"March 25, 1972",Syracuse,1
Donatas Motiejūnas,2013,2019,F-C,7-0,222,"September 20, 1990",,1
Johnathan Motley,2018,2020,F,6-8,230,"May 4, 1995",Baylor,1
Hanno Möttölä,2001,2002,F-C,6-11,247,"September 9, 1976",Utah,1
Arnett Moultrie,2013,2014,F,6-11,249,"November 18, 1990","Texas-El Paso, Mississippi State",1
Rick Mount,1971,1975,G,6-3,175,"January 5, 1947",Purdue,1
Alonzo Mourning,1993,2008,C-F,6-10,240,"February 8, 1970",Georgetown,1
Timofey Mozgov,2011,2018,C,7-1,275,"July 16, 1986",,1
Chuck Mrazovich,1951,1951,F,6-5,185,"February 26, 1924",Eastern Kentucky University,1
Emmanuel Mudiay,2016,2022,G,6-3,200,"March 5, 1996",,0
Erwin Mueller,1967,1974,C-F,6-8,230,"March 12, 1944",San Francisco,1
Shabazz Muhammad,2014,2018,F-G,6-6,223,"November 13, 1992",UCLA,1
Mychal Mulder,2020,2022,G-F,6-3,184,"June 12, 1994","Vincennes University, Kentucky",0
Joe Mullaney,1950,1950,G,6-0,165,"November 17, 1924",Holy Cross,1
Bob Mullens,1947,1947,G,6-1,175,"November 1, 1922",Fordham,1
Byron Mullens,2010,2014,C-F,7-0,275,"February 14, 1989",Ohio State,1
Chris Mullin,1986,2001,F-G,6-7,215,"July 30, 1963",St. John's,1
Jeff Mullins,1965,1976,G-F,6-4,190,"March 18, 1942",Duke,1
Todd Mundt,1996,1996,C,7-0,250,"May 17, 1970","Memphis, Delta State University",1
Xavier Munford,2016,2018,G,6-2,180,"June 1, 1992",Rhode Island,1
Chris Munk,1991,1991,F,6-9,225,"August 5, 1967",USC,1
George Munroe,1947,1948,G,5-11,170,"January 5, 1922",Dartmouth College,1
Eric Murdock,1992,2000,G,6-1,190,"June 14, 1968",Providence,1
Gheorghe Mureșan,1994,2000,C,7-7,303,"February 14, 1971",,1
Ade Murkey,2022,2022,G,6-5,200,"January 29, 1998",Denver,1
Allen Murphy,1976,1977,G,6-5,190,"July 15, 1952",Louisville,1
Calvin Murphy,1971,1983,G,5-9,165,"May 9, 1948",Niagara University,1
Dick Murphy,1947,1947,G,6-1,175,"March 10, 1921",Manhattan College,1
Erik Murphy,2014,2014,F,6-10,230,"October 26, 1990",Florida,1
Jay Murphy,1985,1988,F,6-9,220,"June 26, 1962",Boston College,1
John Murphy,1947,1947,F,6-2,175,"September 13, 1924",,1
Kevin Murphy,2013,2013,G,6-5,185,"March 6, 1990",Tennessee Technological University,1
Ronnie Murphy,1988,1988,F,6-5,225,"July 29, 1964",Jacksonville University,1
Tod Murphy,1988,1994,C-F,6-9,220,"December 24, 1963","University of California, Irvine",1
Trey Murphy III,2022,2025,F,6-8,206,"June 18, 2000","Rice University, Virginia",0
Troy Murphy,2002,2013,F-C,6-11,245,"May 2, 1980",Notre Dame,1
Dejounte Murray,2017,2025,G,6-5,180,"September 19, 1996",Washington,0
Jamal Murray,2017,2025,G,6-4,215,"February 23, 1997",Kentucky,0
Keegan Murray,2023,2025,F,6-8,215,"August 19, 2000",Iowa,0
Ken Murray,1951,1955,G-F,6-2,190,"April 20, 1928",St. Bonaventure,1
Kris Murray,2024,2025,F,6-8,220,"August 19, 2000",Iowa,0
Lamond Murray,1995,2006,F,6-7,236,"April 20, 1973",California,1
Ronald Murray,2003,2010,G,6-4,190,"July 29, 1979","Meridian Community College, Shaw",1
Tracy Murray,1993,2004,F,6-7,225,"July 25, 1971",UCLA,1
Willie Murrell,1968,1970,F,6-6,225,"September 13, 1941","Eastern Oklahoma State College, Kansas State",1
Dorie Murrey,1967,1972,F-C,6-8,215,"September 7, 1943",Detroit Mercy,1
Toure' Murry,2014,2015,G-F,6-5,195,"November 8, 1989",Wichita State,1
Džanan Musa,2019,2020,G-F,6-9,217,"May 8, 1999",,1
Mike Muscala,2014,2024,F-C,6-10,240,"July 1, 1991",Bucknell,0
Angelo Musi,1947,1949,G,5-9,145,"July 25, 1918",Temple,1
Jerrod Mustaf,1991,1994,F-C,6-10,238,"October 28, 1969",Maryland,1
Dikembe Mutombo,1992,2009,C,7-2,245,"June 25, 1966",Georgetown,1
Martin Müürsepp,1997,1998,F,6-9,235,"September 26, 1974",,1
Pete Myers,1987,1998,G-F,6-6,180,"September 15, 1963",Little Rock,1
Svi Mykhailiuk,2019,2025,G-F,6-7,205,"June 10, 1997",Kansas,0
Hamady N'Diaye,2011,2014,C,7-0,235,"January 12, 1987",Rutgers University,1
Makhtar N'Diaye,1999,1999,F,6-8,245,"December 12, 1973","Michigan, UNC",1
Mamadou N'Diaye,2001,2005,C,7-0,255,"June 16, 1975",Auburn,1
