Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link,Season
Naz Reid,#11,C-F,6-9,264 lbs,"AUG 26, 1999",23,3,Louisiana State,Signed on 07/04/19,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629675/,2022-23
Taurean Prince,#12,F,6-6,218 lbs,"MAR 22, 1994",29,6,Baylor,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1627752/,2022-23
Nathan Knight,#13,F-C,6-8,253 lbs,"SEP 20, 1997",25,2,William & Mary,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1630233/,2022-23
Austin Rivers,#25,G,6-4,200 lbs,"AUG 01, 1992",30,10,Duke,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/203085/,2022-23
Rudy Gobert,#27,C,7-1,258 lbs,"JUN 26, 1992",31,9,Cholet,Traded from UTA on 07/06/22,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/203497/,2022-23
Karl-Anthony Towns,#32,C-F,7-0,248 lbs,"NOV 15, 1995",27,7,Kentucky,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1626157/,2022-23
Matt Ryan,#37,F,6-6,215 lbs,"APR 17, 1997",26,1,Tennessee-Chattanooga,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1630346/,2022-23
Luka Garza,#55,C,6-10,243 lbs,"DEC 27, 1998",24,1,Iowa,Signed on 08/22/22,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1630568/,2022-23
D'Angelo Russell,#0,G,6-4,193 lbs,"FEB 23, 1996",26,6,Ohio State,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1626156/,2021-22
Anthony Edwards,#1,G,6-4,225 lbs,"AUG 05, 2001",20,1,Georgia,#1 Pick in 2020 Draft,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1630162/,2021-22
Jaden McDaniels,#3,F,6-9,185 lbs,"SEP 29, 2000",21,1,Washington,Draft Rights Traded from OKC on 11/20/20,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1630183/,2021-22
Jaylen Nowell,#4,G,6-4,201 lbs,"JUL 09, 1999",22,2,Washington,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629669/,2021-22
Malik Beasley,#5,G,6-4,187 lbs,"NOV 26, 1996",25,5,Florida State,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1627736/,2021-22
Jordan McLaughlin,#6,G,5-11,185 lbs,"APR 09, 1996",26,2,Southern California,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629162/,2021-22
Jarred Vanderbilt,#8,F,6-9,214 lbs,"APR 03, 1999",23,3,Kentucky,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629020/,2021-22
Leandro Bolmaro,#9,F,6-6,200 lbs,"SEP 11, 2000",21,R,FC Barcelona,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1630195/,2021-22
Jake Layman,#10,F,6-8,209 lbs,"MAR 07, 1994",28,5,Maryland,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1627774/,2021-22
Naz Reid,#11,C-F,6-9,264 lbs,"AUG 26, 1999",22,2,Louisiana State,Signed on 07/04/19,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629675/,2021-22
Taurean Prince,#12,F,6-6,218 lbs,"MAR 22, 1994",28,5,Baylor,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1627752/,2021-22
Nathan Knight,#13,F-C,6-10,253 lbs,"SEP 20, 1997",24,1,William & Mary,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1630233/,2021-22
Greg Monroe,#15,F-C,6-10,250 lbs,"JUN 04, 1990",32,9,Georgetown,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/202328/,2021-22
Josh Okogie,#20,G,6-4,213 lbs,"SEP 01, 1998",23,3,Georgia Tech,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629006/,2021-22
Patrick Beverley,#22,G,6-1,180 lbs,"JUL 12, 1988",33,9,Arkansas,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/201976/,2021-22
McKinley Wright IV,#25,G,5-11,192 lbs,"OCT 25, 1998",23,R,Colorado,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1630593/,2021-22
Karl-Anthony Towns,#32,C-F,6-11,248 lbs,"NOV 15, 1995",26,6,Kentucky,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1626157/,2021-22
D'Angelo Russell,#0,G,6-4,193 lbs,"FEB 23, 1996",25,5,Ohio State,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1626156/,2020-21
Anthony Edwards,#1,G,6-4,225 lbs,"AUG 05, 2001",19,R,Georgia,#1 Pick in 2020 Draft,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1630162/,2020-21
Jaden McDaniels,#3,F,6-9,185 lbs,"SEP 29, 2000",20,R,Washington,Draft Rights Traded from OKC on 11/20/20,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1630183/,2020-21
Jaylen Nowell,#4,G,6-4,201 lbs,"JUL 09, 1999",21,1,Washington,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629669/,2020-21
Malik Beasley,#5,G,6-4,187 lbs,"NOV 26, 1996",24,4,Florida State,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1627736/,2020-21
Jordan McLaughlin,#6,G,5-11,185 lbs,"APR 09, 1996",25,1,Southern California,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629162/,2020-21
Jarred Vanderbilt,#8,F,6-9,214 lbs,"APR 03, 1999",22,2,Kentucky,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629020/,2020-21
Ricky Rubio,#9,G,6-3,190 lbs,"OCT 21, 1990",30,9,FC Barcelona,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/201937/,2020-21
Jake Layman,#10,F,6-8,209 lbs,"MAR 07, 1994",27,4,Maryland,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1627774/,2020-21
Naz Reid,#11,C-F,6-9,264 lbs,"AUG 26, 1999",21,1,Louisiana State,Signed on 07/04/19,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629675/,2020-21
Ed Davis,#17,C-F,6-9,218 lbs,"JUN 05, 1989",32,10,North Carolina,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/202334/,2020-21
Josh Okogie,#20,G,6-4,213 lbs,"SEP 01, 1998",22,2,Georgia Tech,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629006/,2020-21
Jarrett Culver,#23,G-F,6-6,195 lbs,"FEB 20, 1999",22,1,Texas Tech,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1629633/,2020-21
Karl-Anthony Towns,#32,C-F,6-11,248 lbs,"NOV 15, 1995",25,5,Kentucky,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1626157/,2020-21
Juancho Hernangomez,#41,F,6-9,214 lbs,"SEP 28, 1995",25,4,Estudiantes,,MINNESOTA TIMBERWOLVES,https://www.nba.com/stats/player/1627823/,2020-21
Shai Gilgeous-Alexander,#2,G,6-6,195 lbs,"JUL 12, 1998",26,6,Kentucky,Traded from LAC on 07/10/19,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1628983/,2024-25
Dillon Jones,#3,F,6-5,235 lbs,"OCT 29, 2001",23,R,Weber State,Draft Rights Traded from NYK on 06/27/24,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1641794/,2024-25
Luguentz Dort,#5,G,6-4,220 lbs,"APR 19, 1999",25,5,Arizona State,Signed on 07/06/19,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629652/,2024-25
Jaylin Williams,#6,F,6-9,240 lbs,"JUN 29, 2002",22,2,Arkansas,#34 Pick in 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631119/,2024-25
Chet Holmgren,#7,C-F,7-1,208 lbs,"MAY 01, 2002",22,1,Gonzaga,#2 Pick in 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631096/,2024-25
Jalen Williams,#8,G-F,6-5,211 lbs,"APR 14, 2001",23,2,Santa Clara,#12 Pick in 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631114/,2024-25
Alex Caruso,#9,G,6-5,186 lbs,"FEB 28, 1994",30,7,Texas A&M,Traded from CHI on 06/21/24,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1627936/,2024-25
Isaiah Joe,#11,G,6-3,165 lbs,"JUL 02, 1999",25,4,Arkansas,Signed on 10/16/22,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630198/,2024-25
Ousmane Dieng,#13,F,6-9,185 lbs,"MAY 21, 2003",21,2,New Zealand Breakers,Draft Rights Traded from NYK on 06/23/22,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631172/,2024-25
Adam Flagler,#14,G,6-3,180 lbs,"DEC 01, 1999",25,1,Baylor,Signed on 10/19/23,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1641745/,2024-25
Branden Carlson,#15,C,7-0,220 lbs,"JUN 14, 1999",25,R,Utah,Signed on 11/16/24,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1642382/,2024-25
Aaron Wiggins,#21,G,6-5,190 lbs,"JAN 02, 1999",25,3,Maryland,#55 Pick in 2021 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630598/,2024-25
Cason Wallace,#22,G,6-3,195 lbs,"NOV 07, 2003",21,1,Kentucky,Draft Rights Traded from DAL on 07/06/23,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1641717/,2024-25
Ajay Mitchell,#25,G,6-5,190 lbs,"JUN 25, 2002",22,R,California-Santa Barbara,Draft Rights Traded from NYK on 06/27/24,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1642349/,2024-25
Kenrich Williams,#34,G-F,6-6,210 lbs,"DEC 02, 1994",30,6,TCU,Traded from NOP on 11/23/20,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629026/,2024-25
Nikola Topić,#44,G,6-6,200 lbs,"AUG 10, 2005",19,R,Crvena zvezda,#12 Pick in 2024 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1642260/,2024-25
Isaiah Hartenstein,#55,C-F,7-0,250 lbs,"MAY 05, 1998",26,6,Zalgiris,Signed on 07/06/24,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1628392/,2024-25
Alex Ducas,#88,G,6-7,220 lbs,"DEC 11, 2000",24,R,Mount Saint Mary's,Signed on 07/15/24,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1642505/,2024-25
Shai Gilgeous-Alexander,#2,G,6-6,195 lbs,"JUL 12, 1998",25,5,Kentucky,Traded from LAC on 07/10/19,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1628983/,2023-24
Josh Giddey,#3,G,6-8,216 lbs,"OCT 10, 2002",21,2,NBA Global Academy,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630581/,2023-24
Luguentz Dort,#5,G,6-4,220 lbs,"APR 19, 1999",25,4,Arizona State,Signed on 07/06/19,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629652/,2023-24
Jaylin Williams,#6,F,6-9,240 lbs,"JUN 29, 2002",22,1,Arkansas,#34 Pick in 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631119/,2023-24
Chet Holmgren,#7,C-F,7-1,208 lbs,"MAY 01, 2002",22,R,Gonzaga,#2 Pick in 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631096/,2023-24
Jalen Williams,#8,G-F,6-5,211 lbs,"APR 14, 2001",23,1,Santa Clara,#12 Pick in 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631114/,2023-24
Isaiah Joe,#11,G,6-3,165 lbs,"JUL 02, 1999",24,3,Arkansas,Signed on 10/16/22,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630198/,2023-24
Lindy Waters III,#12,F,6-6,210 lbs,"JUL 28, 1997",26,2,Oklahoma State,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630322/,2023-24
Ousmane Dieng,#13,F,6-9,185 lbs,"MAY 21, 2003",21,1,New Zealand Breakers,Draft Rights Traded from NYK on 06/23/22,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631172/,2023-24
Adam Flagler,#14,G,6-3,180 lbs,"DEC 01, 1999",24,R,Baylor,Signed on 10/19/23,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1641745/,2023-24
Bismack Biyombo,#15,C,6-8,255 lbs,"AUG 28, 1992",31,12,Baloncesto Fuenlabrada,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/202687/,2023-24
Keyontae Johnson,#18,F,6-4,230 lbs,"MAY 24, 2000",24,R,Kansas State,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1641749/,2023-24
Aaron Wiggins,#21,G,6-5,190 lbs,"JAN 02, 1999",25,2,Maryland,#55 Pick in 2021 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630598/,2023-24
Cason Wallace,#22,G,6-3,195 lbs,"NOV 07, 2003",20,R,Kentucky,Draft Rights Traded from DAL on 07/06/23,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1641717/,2023-24
Olivier Sarr,#30,C,6-10,240 lbs,"FEB 20, 1999",25,2,Kentucky,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630846/,2023-24
Gordon Hayward,#33,F,6-7,225 lbs,"MAR 23, 1990",34,13,Butler,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/202330/,2023-24
Kenrich Williams,#34,G-F,6-6,210 lbs,"DEC 02, 1994",29,5,TCU,Traded from NOP on 11/23/20,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629026/,2023-24
Mike Muscala,#50,F-C,6-10,240 lbs,"JUL 01, 1991",33,10,Bucknell,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/203488/,2023-24
Shai Gilgeous-Alexander,#2,G,6-6,195 lbs,"JUL 12, 1998",24,4,Kentucky,Traded from LAC on 07/10/19,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1628983/,2022-23
Josh Giddey,#3,G,6-8,216 lbs,"OCT 10, 2002",20,1,NBA Global Academy,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630581/,2022-23
Luguentz Dort,#5,G,6-4,220 lbs,"APR 19, 1999",24,3,Arizona State,Signed on 07/06/19,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629652/,2022-23
Jaylin Williams,#6,F,6-9,240 lbs,"JUN 29, 2002",21,R,Arkansas,#34 Pick in 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631119/,2022-23
Chet Holmgren,#7,C-F,7-1,195 lbs,"MAY 01, 2002",21,R,Gonzaga,#2 Pick in 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631096/,2022-23
Jalen Williams,#8,G-F,6-5,211 lbs,"APR 14, 2001",22,R,Santa Clara,#12 Pick in 2022 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631114/,2022-23
Dario Šarić,#9,F-C,6-10,225 lbs,"APR 08, 1994",29,5,Anadolu Efes,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/203967/,2022-23
Isaiah Joe,#11,G,6-3,165 lbs,"JUL 02, 1999",23,2,Arkansas,Signed on 10/16/22,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630198/,2022-23
Lindy Waters III,#12,F,6-6,210 lbs,"JUL 28, 1997",25,1,Oklahoma State,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630322/,2022-23
Ousmane Dieng,#13,F,6-9,185 lbs,"MAY 21, 2003",20,R,New Zealand Breakers,Draft Rights Traded from NYK on 06/23/22,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1631172/,2022-23
Jared Butler,#14,G,6-3,193 lbs,"AUG 25, 2000",22,1,Baylor,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630215/,2022-23
Aleksej Pokusevski,#17,F,7-0,210 lbs,"DEC 26, 2001",21,2,Olympiacos,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630197/,2022-23
Aaron Wiggins,#21,G,6-5,190 lbs,"JAN 02, 1999",24,1,Maryland,#55 Pick in 2021 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630598/,2022-23
Tre Mann,#23,G,6-3,178 lbs,"FEB 03, 2001",22,1,Florida,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630544/,2022-23
Olivier Sarr,#30,C,6-11,240 lbs,"FEB 20, 1999",24,1,Kentucky,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630846/,2022-23
Kenrich Williams,#34,G-F,6-6,210 lbs,"DEC 02, 1994",28,4,TCU,Traded from NOP on 11/23/20,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629026/,2022-23
Jeremiah Robinson-Earl,#50,F,6-8,240 lbs,"NOV 03, 2000",22,1,Villanova,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630526/,2022-23
Shai Gilgeous-Alexander,#2,G,6-6,180 lbs,"JUL 12, 1998",23,3,Kentucky,Traded from LAC on 07/10/19,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1628983/,2021-22
Josh Giddey,#3,G,6-8,205 lbs,"OCT 10, 2002",19,R,NBA Global Academy,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630581/,2021-22
Luguentz Dort,#5,G,6-3,215 lbs,"APR 19, 1999",23,2,Arizona State,Signed on 07/06/19,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629652/,2021-22
Melvin Frazier Jr.,#6,G-F,6-5,215 lbs,"AUG 30, 1996",25,2,Tulane,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1628982/,2021-22
Darius Bazley,#7,F,6-8,208 lbs,"JUN 12, 2000",22,2,Princeton HS (OH),,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629647/,2021-22
Theo Maledon,#11,G,6-4,175 lbs,"JUN 12, 2001",21,1,ASVEL,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630177/,2021-22
Lindy Waters III,#12,F,6-6,215 lbs,"JUL 28, 1997",24,R,Oklahoma State,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630322/,2021-22
Derrick Favors,#15,F,6-9,265 lbs,"JUL 15, 1991",30,11,Georgia Tech,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/202324/,2021-22
Ty Jerome,#16,G-F,6-5,195 lbs,"JUL 08, 1997",24,2,Virginia,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629660/,2021-22
Aleksej Pokusevski,#17,F,7-0,190 lbs,"DEC 26, 2001",20,1,Olympiacos,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630197/,2021-22
Aaron Wiggins,#21,G,6-4,190 lbs,"JAN 02, 1999",23,R,Maryland,#55 Pick in 2021 Draft,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630598/,2021-22
Isaiah Roby,#22,F,6-8,230 lbs,"FEB 03, 1998",24,2,Nebraska,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629676/,2021-22
Tre Mann,#23,G,6-3,178 lbs,"FEB 03, 2001",21,R,Florida,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630544/,2021-22
Vít Krejčí,#27,G,6-8,195 lbs,"JUN 19, 2000",22,R,Zaragoza,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630249/,2021-22
Mike Muscala,#33,F-C,6-10,240 lbs,"JUL 01, 1991",30,8,Bucknell,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/203488/,2021-22
Kenrich Williams,#34,G-F,6-6,210 lbs,"DEC 02, 1994",27,3,TCU,Traded from NOP on 11/23/20,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629026/,2021-22
Jeremiah Robinson-Earl,#50,F,6-8,242 lbs,"NOV 03, 2000",21,R,Villanova,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630526/,2021-22
Shai Gilgeous-Alexander,#2,G-F,6-6,180 lbs,"JUL 12, 1998",22,2,Kentucky,Traded from LAC on 07/10/19,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1628983/,2020-21
Luguentz Dort,#5,G,6-3,215 lbs,"APR 19, 1999",22,1,Arizona State,Signed on 07/06/19,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629652/,2020-21
Gabriel Deck,#6,F,6-6,231 lbs,"FEB 08, 1995",26,R,Real Madrid,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630466/,2020-21
Darius Bazley,#7,F-G,6-8,208 lbs,"JUN 12, 2000",21,1,Princeton HS (OH),,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629647/,2020-21
Kemba Walker,#8,G,6-0,184 lbs,"MAY 08, 1990",31,9,Connecticut,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/202689/,2020-21
Jaylen Hoard,#8,F,6-8,216 lbs,"MAR 30, 1999",22,1,Wake Forest,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629658/,2020-21
Theo Maledon,#11,G,6-4,175 lbs,"JUN 12, 2001",20,R,ASVEL,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630177/,2020-21
Tony Bradley,#13,C-F,6-10,248 lbs,"JAN 08, 1998",23,3,North Carolina,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1628396/,2020-21
Svi Mykhailiuk,#14,G-F,6-7,205 lbs,"JUN 10, 1997",24,2,Kansas,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629004/,2020-21
Josh Hall,#15,F,6-9,190 lbs,"OCT 08, 2000",20,R,Moravian Prep (NC),,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630221/,2020-21
Ty Jerome,#16,G-F,6-5,195 lbs,"JUL 08, 1997",23,1,Virginia,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629660/,2020-21
Aleksej Pokusevski,#17,C,7-0,190 lbs,"DEC 26, 2001",19,R,Olympiacos,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1630197/,2020-21
Isaiah Roby,#22,F,6-8,230 lbs,"FEB 03, 1998",23,1,Nebraska,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629676/,2020-21
Mike Muscala,#33,F-C,6-10,240 lbs,"JUL 01, 1991",29,7,Bucknell,,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/203488/,2020-21
Kenrich Williams,#34,G-F,6-6,210 lbs,"DEC 02, 1994",26,2,TCU,Traded from NOP on 11/23/20,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629026/,2020-21
Charlie Brown Jr.,#44,G,6-6,199 lbs,"FEB 02, 1997",24,1,St. Joseph's (PA),,OKLAHOMA CITY THUNDER,https://www.nba.com/stats/player/1629718/,2020-21
Scoot Henderson,#00,G,6-3,206 lbs,"FEB 03, 2004",20,1,NBA G League Ignite,#3 Pick in 2023 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1630703/,2024-25
Anfernee Simons,#1,G,6-3,200 lbs,"JUN 08, 1999",25,6,Edgewater HS (FL),#24 Pick in 2018 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1629014/,2024-25
Deandre Ayton,#2,C,7-0,252 lbs,"JUL 23, 1998",26,6,Arizona,Traded from PHX on 09/27/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1629028/,2024-25
Matisse Thybulle,#4,G-F,6-5,201 lbs,"MAR 04, 1997",27,5,Washington,Traded from PHI on 02/09/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1629680/,2024-25
Dalano Banton,#5,F,6-8,203 lbs,"NOV 07, 1999",25,3,Nebraska,Traded from BOS on 02/08/24,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1630625/,2024-25
Deni Avdija,#8,F,6-9,240 lbs,"JAN 03, 2001",23,4,Maccabi Tel Aviv,Traded from WAS on 07/06/24,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1630166/,2024-25
Jerami Grant,#9,F,6-7,210 lbs,"MAR 12, 1994",30,10,Syracuse,Traded from DET on 07/06/22,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/203924/,2024-25
Justin Minaya,#10,F,6-5,205 lbs,"MAR 26, 1999",25,2,Providence,Signed on 04/04/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1631303/,2024-25
Bryce McGowens,#11,G,6-6,190 lbs,"NOV 08, 2002",22,2,Nebraska,Signed on 07/11/24,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1631121/,2024-25
Shaedon Sharpe,#17,G,6-5,208 lbs,"MAY 30, 2003",21,2,Kentucky,#7 Pick in 2022 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1631101/,2024-25
Rayan Rupert,#21,G-F,6-6,195 lbs,"MAY 31, 2004",20,1,New Zealand Breakers,#43 Pick in 2023 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1641712/,2024-25
Donovan Clingan,#23,C,7-2,280 lbs,"FEB 23, 2004",20,R,Connecticut,#7 Pick in 2024 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1642270/,2024-25
Kris Murray,#24,F,6-8,216 lbs,"AUG 19, 2000",24,1,Iowa,#23 Pick in 2023 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1631200/,2024-25
Duop Reath,#26,C,6-9,245 lbs,"JUN 26, 1996",28,1,Louisiana State,Signed on 10/02/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1641871/,2024-25
Toumani Camara,#33,F,6-7,229 lbs,"MAY 08, 2000",24,1,Dayton,Traded from PHX on 09/27/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1641739/,2024-25
Jabari Walker,#34,F,6-7,237 lbs,"JUL 30, 2002",22,2,Colorado,#57 Pick in 2022 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1631133/,2024-25
Robert Williams III,#35,C-F,6-9,249 lbs,"OCT 17, 1997",27,6,Texas A&M,Traded from BOS on 10/01/23,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1629057/,2024-25
Taze Moore,#76,G,6-5,195 lbs,"JUN 29, 1998",26,1,Houston,Signed on 01/20/24,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1631386/,2024-25
Scoot Henderson,#00,G,6-3,202 lbs,"FEB 03, 2004",20,R,NBA G League Ignite,#3 Pick in 2023 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1630703/,2023-24
Anfernee Simons,#1,G,6-3,193 lbs,"JUN 08, 1999",25,5,Edgewater HS (FL),#24 Pick in 2018 Draft,PORTLAND TRAIL BLAZERS,https://www.nba.com/stats/player/1629014/,2023-24
